# Timestamp: 2026-05-13 17:31:49
# Camara posicion: 0.1469,2.0889,1.2155
# FOV: 60.0000 | Near: 0.3000m | Far: 1000.0000m
# Profundidad min: 2.1412m | max: 1000.0000m | media: 211.0503m
# Cuadricula 128x128 — valores en metros
3.1880,3.1661,3.1444,3.1229,3.1016,3.0805,3.0596,3.0389,3.0185,2.9983,2.9783,2.9586,2.9391,2.9199,2.9009,2.8822,2.8637,2.8455,2.8276,2.8099,2.7926,2.7755,2.7587,2.7422,2.7261,2.7102,2.6947,2.6795,2.6646,2.6500,2.6358,2.6219,2.6084,2.5952,2.5824,2.5700,2.5579,2.5462,2.5349,2.5240,2.5135,2.5033,2.4936,2.4843,2.4754,2.4669,2.4588,2.4511,2.4439,2.4371,2.4307,2.4248,2.4194,2.4143,2.4097,2.4056,2.4019,2.3987,2.3959,2.3936,2.3918,2.3904,2.3895,2.3890,2.3890,2.3895,2.3904,2.3918,2.3936,2.3959,2.3987,2.4019,2.4056,2.4097,2.4143,2.4194,2.4248,2.4307,2.4371,2.4439,2.4511,2.4588,2.4669,2.4754,2.4843,2.4936,2.5033,2.5135,2.5240,2.5349,2.5462,2.5579,2.5700,2.5824,2.5952,2.6084,2.6219,2.6358,2.6500,2.6646,2.6795,2.6947,2.7102,2.7261,2.7422,2.7587,2.7755,2.7926,2.8099,2.8276,2.8455,2.8637,2.8822,2.9009,2.9199,2.9391,2.9586,2.9783,2.9983,3.0185,3.0389,3.0596,3.0805,3.1016,3.1229,3.1444,3.1661,3.1880
3.2165,3.1943,3.1723,3.1505,3.1289,3.1075,3.0864,3.0654,3.0447,3.0242,3.0040,2.9840,2.9642,2.9447,2.9255,2.9065,2.8878,2.8693,2.8512,2.8333,2.8157,2.7984,2.7813,2.7646,2.7482,2.7322,2.7164,2.7010,2.6859,2.6711,2.6567,2.6426,2.6289,2.6155,2.6025,2.5899,2.5777,2.5658,2.5543,2.5432,2.5326,2.5223,2.5124,2.5029,2.4939,2.4853,2.4771,2.4693,2.4620,2.4551,2.4486,2.4426,2.4371,2.4320,2.4273,2.4231,2.4194,2.4161,2.4133,2.4110,2.4091,2.4077,2.4067,2.4063,2.4063,2.4067,2.4077,2.4091,2.4110,2.4133,2.4161,2.4194,2.4231,2.4273,2.4320,2.4371,2.4426,2.4486,2.4551,2.4620,2.4693,2.4771,2.4853,2.4939,2.5029,2.5124,2.5223,2.5326,2.5432,2.5543,2.5658,2.5777,2.5899,2.6025,2.6155,2.6289,2.6426,2.6567,2.6711,2.6859,2.7010,2.7164,2.7322,2.7482,2.7646,2.7813,2.7984,2.8157,2.8333,2.8512,2.8693,2.8878,2.9065,2.9255,2.9447,2.9642,2.9840,3.0040,3.0242,3.0447,3.0654,3.0864,3.1075,3.1289,3.1505,3.1723,3.1943,3.2165
3.2457,3.2231,3.2008,3.1787,3.1569,3.1352,3.1137,3.0925,3.0715,3.0508,3.0302,3.0100,2.9899,2.9702,2.9507,2.9314,2.9124,2.8937,2.8753,2.8571,2.8393,2.8217,2.8045,2.7875,2.7709,2.7546,2.7386,2.7230,2.7076,2.6927,2.6780,2.6638,2.6498,2.6363,2.6231,2.6103,2.5979,2.5858,2.5742,2.5630,2.5521,2.5417,2.5317,2.5221,2.5129,2.5041,2.4958,2.4879,2.4805,2.4735,2.4669,2.4608,2.4552,2.4500,2.4453,2.4410,2.4372,2.4339,2.4311,2.4287,2.4268,2.4254,2.4244,2.4239,2.4239,2.4244,2.4254,2.4268,2.4287,2.4311,2.4339,2.4372,2.4410,2.4453,2.4500,2.4552,2.4608,2.4669,2.4735,2.4805,2.4879,2.4958,2.5041,2.5129,2.5221,2.5317,2.5417,2.5521,2.5630,2.5742,2.5858,2.5979,2.6103,2.6231,2.6363,2.6498,2.6638,2.6780,2.6927,2.7076,2.7230,2.7386,2.7546,2.7709,2.7875,2.8045,2.8217,2.8393,2.8571,2.8753,2.8937,2.9124,2.9314,2.9507,2.9702,2.9899,3.0100,3.0302,3.0508,3.0715,3.0925,3.1137,3.1352,3.1569,3.1787,3.2008,3.2231,3.2457
3.2754,3.2526,3.2300,3.2076,3.1854,3.1635,3.1417,3.1202,3.0989,3.0779,3.0571,3.0365,3.0162,2.9962,2.9764,2.9569,2.9376,2.9187,2.9000,2.8816,2.8635,2.8457,2.8282,2.8110,2.7941,2.7776,2.7614,2.7455,2.7300,2.7148,2.6999,2.6854,2.6713,2.6576,2.6442,2.6312,2.6186,2.6064,2.5946,2.5832,2.5721,2.5616,2.5514,2.5416,2.5323,2.5234,2.5150,2.5070,2.4994,2.4923,2.4857,2.4795,2.4738,2.4685,2.4637,2.4594,2.4556,2.4522,2.4493,2.4469,2.4450,2.4435,2.4425,2.4421,2.4421,2.4425,2.4435,2.4450,2.4469,2.4493,2.4522,2.4556,2.4594,2.4637,2.4685,2.4738,2.4795,2.4857,2.4923,2.4994,2.5070,2.5150,2.5234,2.5323,2.5416,2.5514,2.5616,2.5721,2.5832,2.5946,2.6064,2.6186,2.6312,2.6442,2.6576,2.6713,2.6854,2.6999,2.7148,2.7300,2.7455,2.7614,2.7776,2.7941,2.8110,2.8282,2.8457,2.8635,2.8816,2.9000,2.9187,2.9376,2.9569,2.9764,2.9962,3.0162,3.0365,3.0571,3.0779,3.0989,3.1202,3.1417,3.1635,3.1854,3.2076,3.2300,3.2526,3.2754
3.3059,3.2828,3.2599,3.2372,3.2147,3.1924,3.1704,3.1486,3.1270,3.1057,3.0846,3.0637,3.0431,3.0228,3.0027,2.9830,2.9634,2.9442,2.9253,2.9066,2.8882,2.8702,2.8524,2.8350,2.8179,2.8011,2.7847,2.7686,2.7528,2.7374,2.7223,2.7076,2.6933,2.6794,2.6658,2.6526,2.6398,2.6274,2.6154,2.6038,2.5927,2.5819,2.5716,2.5617,2.5523,2.5432,2.5347,2.5266,2.5189,2.5117,2.5049,2.4987,2.4928,2.4875,2.4826,2.4782,2.4743,2.4709,2.4680,2.4655,2.4636,2.4621,2.4611,2.4606,2.4606,2.4611,2.4621,2.4636,2.4655,2.4680,2.4709,2.4743,2.4782,2.4826,2.4875,2.4928,2.4987,2.5049,2.5117,2.5189,2.5266,2.5347,2.5432,2.5523,2.5617,2.5716,2.5819,2.5927,2.6038,2.6154,2.6274,2.6398,2.6526,2.6658,2.6794,2.6933,2.7076,2.7223,2.7374,2.7528,2.7686,2.7847,2.8011,2.8179,2.8350,2.8524,2.8702,2.8882,2.9066,2.9253,2.9442,2.9634,2.9830,3.0027,3.0228,3.0431,3.0637,3.0846,3.1057,3.1270,3.1486,3.1704,3.1924,3.2147,3.2372,3.2599,3.2828,3.3059
3.3371,3.3136,3.2904,3.2674,3.2446,3.2220,3.1997,3.1776,3.1557,3.1341,3.1127,3.0915,3.0707,3.0501,3.0297,3.0096,2.9899,2.9703,2.9511,2.9322,2.9136,2.8953,2.8773,2.8596,2.8422,2.8252,2.8085,2.7922,2.7762,2.7606,2.7453,2.7304,2.7158,2.7017,2.6879,2.6745,2.6616,2.6490,2.6368,2.6251,2.6137,2.6028,2.5923,2.5823,2.5727,2.5635,2.5548,2.5466,2.5388,2.5315,2.5247,2.5183,2.5124,2.5070,2.5020,2.4976,2.4936,2.4901,2.4871,2.4847,2.4827,2.4812,2.4802,2.4797,2.4797,2.4802,2.4812,2.4827,2.4847,2.4871,2.4901,2.4936,2.4976,2.5020,2.5070,2.5124,2.5183,2.5247,2.5315,2.5388,2.5466,2.5548,2.5635,2.5727,2.5823,2.5923,2.6028,2.6137,2.6251,2.6368,2.6490,2.6616,2.6745,2.6879,2.7017,2.7158,2.7304,2.7453,2.7606,2.7762,2.7922,2.8085,2.8252,2.8422,2.8596,2.8773,2.8953,2.9136,2.9322,2.9511,2.9703,2.9899,3.0096,3.0297,3.0501,3.0707,3.0915,3.1127,3.1341,3.1557,3.1776,3.1997,3.2220,3.2446,3.2674,3.2904,3.3136,3.3371
3.3689,3.3452,3.3216,3.2983,3.2752,3.2523,3.2297,3.2073,3.1851,3.1631,3.1415,3.1200,3.0989,3.0780,3.0573,3.0370,3.0169,2.9971,2.9776,2.9584,2.9395,2.9210,2.9027,2.8848,2.8672,2.8499,2.8330,2.8164,2.8002,2.7843,2.7688,2.7537,2.7389,2.7246,2.7106,2.6970,2.6838,2.6711,2.6587,2.6468,2.6353,2.6242,2.6136,2.6034,2.5936,2.5844,2.5755,2.5672,2.5593,2.5518,2.5449,2.5384,2.5324,2.5269,2.5219,2.5174,2.5133,2.5098,2.5068,2.5043,2.5022,2.5007,2.4997,2.4992,2.4992,2.4997,2.5007,2.5022,2.5043,2.5068,2.5098,2.5133,2.5174,2.5219,2.5269,2.5324,2.5384,2.5449,2.5518,2.5593,2.5672,2.5755,2.5844,2.5936,2.6034,2.6136,2.6242,2.6353,2.6468,2.6587,2.6711,2.6838,2.6970,2.7106,2.7246,2.7389,2.7537,2.7688,2.7843,2.8002,2.8164,2.8330,2.8499,2.8672,2.8848,2.9027,2.9210,2.9395,2.9584,2.9776,2.9971,3.0169,3.0370,3.0573,3.0780,3.0989,3.1200,3.1415,3.1631,3.1851,3.2073,3.2297,3.2523,3.2752,3.2983,3.3216,3.3452,3.3689
3.4016,3.3775,3.3536,3.3300,3.3065,3.2833,3.2604,3.2376,3.2152,3.1929,3.1709,3.1492,3.1277,3.1065,3.0856,3.0650,3.0446,3.0245,3.0048,2.9853,2.9661,2.9473,2.9288,2.9106,2.8927,2.8752,2.8580,2.8412,2.8247,2.8086,2.7929,2.7775,2.7626,2.7480,2.7338,2.7200,2.7067,2.6937,2.6812,2.6691,2.6574,2.6462,2.6354,2.6250,2.6151,2.6057,2.5967,2.5882,2.5802,2.5727,2.5656,2.5590,2.5530,2.5474,2.5423,2.5377,2.5336,2.5300,2.5269,2.5244,2.5223,2.5208,2.5198,2.5192,2.5192,2.5198,2.5208,2.5223,2.5244,2.5269,2.5300,2.5336,2.5377,2.5423,2.5474,2.5530,2.5590,2.5656,2.5727,2.5802,2.5882,2.5967,2.6057,2.6151,2.6250,2.6354,2.6462,2.6574,2.6691,2.6812,2.6937,2.7067,2.7200,2.7338,2.7480,2.7626,2.7775,2.7929,2.8086,2.8247,2.8412,2.8580,2.8752,2.8927,2.9106,2.9288,2.9473,2.9661,2.9853,3.0048,3.0245,3.0446,3.0650,3.0856,3.1065,3.1277,3.1492,3.1709,3.1929,3.2152,3.2376,3.2604,3.2833,3.3065,3.3300,3.3536,3.3775,3.4016
3.4350,3.4106,3.3864,3.3624,3.3386,3.3151,3.2918,3.2688,3.2459,3.2234,3.2011,3.1791,3.1573,3.1358,3.1146,3.0936,3.0730,3.0526,3.0326,3.0128,2.9934,2.9743,2.9555,2.9370,2.9189,2.9011,2.8837,2.8666,2.8499,2.8336,2.8176,2.8020,2.7868,2.7720,2.7576,2.7437,2.7301,2.7169,2.7042,2.6919,2.6801,2.6687,2.6577,2.6472,2.6372,2.6276,2.6185,2.6099,2.6017,2.5941,2.5869,2.5802,2.5740,2.5684,2.5632,2.5585,2.5544,2.5507,2.5476,2.5450,2.5429,2.5414,2.5403,2.5398,2.5398,2.5403,2.5414,2.5429,2.5450,2.5476,2.5507,2.5544,2.5585,2.5632,2.5684,2.5740,2.5802,2.5869,2.5941,2.6017,2.6099,2.6185,2.6276,2.6372,2.6472,2.6577,2.6687,2.6801,2.6919,2.7042,2.7169,2.7301,2.7437,2.7576,2.7720,2.7868,2.8020,2.8176,2.8336,2.8499,2.8666,2.8837,2.9011,2.9189,2.9370,2.9555,2.9743,2.9934,3.0128,3.0326,3.0526,3.0730,3.0936,3.1146,3.1358,3.1573,3.1791,3.2011,3.2234,3.2459,3.2688,3.2918,3.3151,3.3386,3.3624,3.3864,3.4105,3.4350
3.4692,3.4444,3.4199,3.3956,3.3715,3.3476,3.3240,3.3006,3.2775,3.2546,3.2320,3.2096,3.1876,3.1658,3.1442,3.1230,3.1020,3.0814,3.0610,3.0410,3.0213,3.0019,2.9828,2.9641,2.9457,2.9277,2.9100,2.8927,2.8757,2.8591,2.8429,2.8271,2.8117,2.7967,2.7821,2.7679,2.7541,2.7408,2.7278,2.7154,2.7033,2.6918,2.6806,2.6700,2.6598,2.6500,2.6408,2.6320,2.6238,2.6160,2.6087,2.6019,2.5957,2.5899,2.5847,2.5799,2.5757,2.5720,2.5688,2.5662,2.5641,2.5625,2.5614,2.5609,2.5609,2.5614,2.5625,2.5641,2.5662,2.5688,2.5720,2.5757,2.5799,2.5847,2.5899,2.5957,2.6019,2.6087,2.6160,2.6238,2.6320,2.6408,2.6500,2.6598,2.6700,2.6806,2.6918,2.7033,2.7154,2.7278,2.7408,2.7541,2.7679,2.7821,2.7967,2.8117,2.8271,2.8429,2.8591,2.8757,2.8927,2.9100,2.9277,2.9457,2.9641,2.9828,3.0019,3.0213,3.0410,3.0610,3.0814,3.1020,3.1230,3.1442,3.1658,3.1876,3.2096,3.2320,3.2546,3.2775,3.3006,3.3240,3.3476,3.3715,3.3956,3.4199,3.4444,3.4692
